Date time,Purpose,Amount (BTC),Exchange rate,Amount (EUR)
2020-03-01 00:00:00 GMT,Hashpower mining,0.00002647,7921.11,0.21
2020-03-01 00:00:00 GMT,Hashpower mining fee,-5.3E-7,7921.11,0.00
2020-05-01 00:00:00 GMT,Hashpower mining,0.00011651,8028.59,0.94
2020-05-01 00:00:00 GMT,Hashpower mining fee,-0.00000233,8028.59,-0.02
2020-06-01 00:00:00 GMT,Hashpower mining,0.00130684,8717.53,11.39
2020-06-01 00:00:00 GMT,Hashpower mining fee,-0.00002611,8717.53,-0.23
2020-07-01 00:00:00 GMT,Hashpower mining,0.00145643,8165.25,11.89
2020-07-01 00:00:00 GMT,Hashpower mining fee,-0.00002914,8165.25,-0.24
2020-08-01 00:00:00 GMT,Hashpower mining,0.00258355,9358.85,24.18
2020-08-01 00:00:00 GMT,Hashpower mining fee,-0.00005158,9358.85,-0.48
2020-09-01 00:00:00 GMT,Hashpower mining,0.00394331,9818.78,38.72
2020-09-01 00:00:00 GMT,Hashpower mining fee,-0.00007890,9818.78,-0.77
2020-10-01 00:00:00 GMT,Hashpower mining,0.00527822,9241.44,48.78
2020-10-01 00:00:00 GMT,Hashpower mining fee,-0.00010554,9241.44,-0.98
2020-11-01 00:00:00 GMT,Hashpower mining,0.00184898,11678.96,21.59
2020-11-01 00:00:00 GMT,Hashpower mining fee,-0.00003697,11678.96,-0.43
2020-12-01 00:00:00 GMT,Hashpower mining,0.00510411,15229.71,77.73
2020-12-01 00:00:00 GMT,Hashpower mining fee,-0.00010200,15229.71,-1.55
2021-01-01 00:00:00 GMT,Hashpower mining,0.00589197,23447.64,138.15
2021-01-01 00:00:00 GMT,Hashpower mining fee,-0.00011788,23447.64,-2.76
2021-02-01 00:00:00 GMT,Hashpower mining,0.00716592,28303.29,202.82
2021-02-01 00:00:00 GMT,Hashpower mining fee,-0.00014332,28303.29,-4.06
2021-03-01 00:00:00 GMT,Hashpower mining,0.00459705,37288.01,171.41
2021-03-01 00:00:00 GMT,Hashpower mining fee,-0.00009199,37288.01,-3.43
,Hashpower mining fee,-0.00078629,,-14.96
,Hashpower mining,0.03931936,,747.82
âˆ‘,Total,0.03853307,,732.86
